timestamp,tipo,severidade,valor,limite
1778980186,transformador/nucleo/delta_t,aviso,19.36,15
1778980186,transformador/vibracao/fft_120hz,aviso,0.38,0.2
1778980188,transformador/secundario/corrente,aviso,43.97,30
1778980192,transformador/vibracao/fft_240hz,critico,0.35,0.25
1778980194,transformador/nucleo/temperatura,aviso,78.86,70
1778980197,transformador/primario/corrente,aviso,4.34,4
1778980201,transformador/vibracao/fft_240hz,aviso,0.19,0.1
1778980230,transformador/secundario/corrente,aviso,31.45,30
1778980231,transformador/vibracao/fft_120hz,critico,0.47,0.45
1778980242,transformador/vibracao/fft_240hz,aviso,0.17,0.1
1778980248,transformador/secundario/corrente,critico,52.43,45
1778980249,transformador/vibracao/fft_240hz,aviso,0.21,0.1
1778980257,transformador/vibracao/fft_240hz,aviso,0.23,0.1
1778980261,transformador/nucleo/delta_t,aviso,20.73,15
1778980275,transformador/nucleo/delta_t,critico,27.36,25
1778980278,transformador/vibracao/fft_240hz,aviso,0.23,0.1
1778980284,transformador/vibracao/fft_240hz,critico,0.27,0.25
1778980294,transformador/vibracao/fft_240hz,critico,0.27,0.25
1778980300,transformador/vibracao/fft_120hz,aviso,0.43,0.2
1778980303,transformador/vibracao/fft_120hz,aviso,0.33,0.2
1778980305,transformador/vibracao/fft_240hz,critico,0.3,0.25
1778980308,transformador/primario/corrente,aviso,4.01,4
1778980308,transformador/vibracao/fft_240hz,critico,0.25,0.25
1778980309,transformador/secundario/corrente,critico,51.15,45
1778980315,transformador/vibracao/fft_120hz,aviso,0.34,0.2
1778980321,transformador/secundario/corrente,aviso,36.35,30
1778980321,transformador/vibracao/fft_240hz,critico,0.26,0.25
1778980335,transformador/secundario/corrente,critico,53.78,45
1778980344,transformador/vibracao/fft_120hz,aviso,0.44,0.2
1778980344,transformador/vibracao/fft_240hz,critico,0.29,0.25
1778980345,transformador/secundario/corrente,critico,46.52,45
1778980347,transformador/vibracao/fft_120hz,critico,0.48,0.45
1778980350,transformador/vibracao/fft_240hz,aviso,0.19,0.1
1778980354,transformador/vibracao/fft_120hz,critico,0.59,0.45
1778980365,transformador/vibracao/fft_120hz,aviso,0.32,0.2
1778980381,transformador/nucleo/temperatura,critico,88.49,85
1778980392,transformador/vibracao/fft_120hz,critico,0.67,0.45
1778980399,transformador/primario/corrente,critico,6.39,6
1778980402,transformador/primario/corrente,critico,6.03,6
1778980404,transformador/nucleo/temperatura,aviso,77.62,70
1778980404,transformador/nucleo/delta_t,aviso,17.24,15
1778980413,transformador/nucleo/temperatura,aviso,74.8,70
1778980416,transformador/primario/corrente,aviso,5.5,4
1778980419,transformador/vibracao/fft_240hz,aviso,0.11,0.1
1778980422,transformador/vibracao/fft_240hz,critico,0.3,0.25
1778980428,transformador/secundario/corrente,aviso,36.35,30
1778980431,transformador/vibracao/fft_120hz,aviso,0.29,0.2
1778980431,transformador/vibracao/fft_240hz,aviso,0.24,0.1
1778980446,transformador/vibracao/fft_120hz,critico,0.6,0.45
1778980446,transformador/vibracao/fft_240hz,aviso,0.17,0.1
1778980452,transformador/primario/corrente,critico,6.33,6
1778980458,transformador/vibracao/fft_120hz,critico,0.54,0.45
1778980468,transformador/primario/corrente,aviso,4.65,4
1778980471,transformador/secundario/corrente,critico,51.94,45
1778980471,transformador/vibracao/fft_240hz,aviso,0.19,0.1
1778980488,transformador/primario/corrente,aviso,4.65,4
1778980495,transformador/vibracao/fft_120hz,critico,0.72,0.45
1778980497,transformador/nucleo/temperatura,aviso,72.87,70
1778980500,transformador/vibracao/fft_120hz,aviso,0.4,0.2
1778980506,transformador/nucleo/temperatura,aviso,70.87,70
1778980510,transformador/nucleo/temperatura,aviso,82.17,70
1778980531,transformador/primario/corrente,aviso,5.82,4
1778980539,transformador/vibracao/fft_120hz,critico,0.45,0.45
1778980546,transformador/vibracao/fft_120hz,aviso,0.42,0.2
1778980546,transformador/vibracao/fft_240hz,critico,0.36,0.25
1778980555,transformador/vibracao/fft_240hz,critico,0.26,0.25
1778980564,transformador/nucleo/temperatura,aviso,73.35,70
1778980567,transformador/primario/corrente,aviso,5.5,4
1778980575,transformador/nucleo/delta_t,aviso,24.39,15
1778980575,transformador/primario/corrente,aviso,5.18,4
1778980576,transformador/primario/corrente,critico,7.16,6
1778980585,transformador/vibracao/fft_120hz,critico,0.45,0.45
1778980587,transformador/nucleo/temperatura,critico,92.48,85
1778980615,transformador/nucleo/temperatura,aviso,77.48,70
1778980615,transformador/vibracao/fft_120hz,aviso,0.36,0.2
1778980630,transformador/nucleo/temperatura,aviso,81.48,70
1778980631,transformador/primario/corrente,aviso,5.85,4
1778980640,transformador/secundario/corrente,critico,46.56,45
1778980640,transformador/vibracao/fft_240hz,aviso,0.13,0.1
1778980654,transformador/vibracao/fft_240hz,aviso,0.24,0.1
1778980660,transformador/vibracao/fft_240hz,critico,0.3,0.25
1778980670,transformador/vibracao/fft_120hz,aviso,0.32,0.2
1778980676,transformador/nucleo/delta_t,aviso,20.56,15
1778980688,transformador/vibracao/fft_120hz,aviso,0.34,0.2
1778980688,transformador/vibracao/fft_240hz,aviso,0.22,0.1
1778980696,transformador/nucleo/temperatura,aviso,70.43,70
1778980696,transformador/nucleo/delta_t,critico,26.26,25
1778980697,transformador/vibracao/fft_120hz,aviso,0.35,0.2
1778980721,transformador/vibracao/fft_120hz,critico,0.62,0.45
1778980727,transformador/nucleo/delta_t,critico,28.95,25
