timestamp,topico,valor,unidade,alarme
2026-05-16T23:39:18.620Z,transformador/nucleo/temperatura,46.61,°C,
2026-05-16T23:39:18.620Z,transformador/nucleo/delta_t,6.84,°C,
2026-05-16T23:39:18.620Z,transformador/primario/corrente,2.37,A,
2026-05-16T23:39:18.620Z,transformador/secundario/corrente,19.63,A,
2026-05-16T23:39:18.620Z,transformador/vibracao/fft_120hz,0.1,g,
2026-05-16T23:39:18.620Z,transformador/vibracao/fft_240hz,0.08,g,
2026-05-16T23:39:20.120Z,transformador/nucleo/temperatura,56.13,°C,
2026-05-16T23:39:20.120Z,transformador/nucleo/delta_t,4.41,°C,
2026-05-16T23:39:20.120Z,transformador/primario/corrente,2.49,A,
2026-05-16T23:39:20.120Z,transformador/secundario/corrente,26.52,A,
2026-05-16T23:39:20.120Z,transformador/vibracao/fft_120hz,0.11,g,
2026-05-16T23:39:20.120Z,transformador/vibracao/fft_240hz,0.01,g,
2026-05-16T23:39:21.621Z,transformador/nucleo/temperatura,62.31,°C,
2026-05-16T23:39:21.621Z,transformador/nucleo/delta_t,7.46,°C,
2026-05-16T23:39:21.621Z,transformador/primario/corrente,3.1,A,
2026-05-16T23:39:21.621Z,transformador/secundario/corrente,25.08,A,
2026-05-16T23:39:21.621Z,transformador/vibracao/fft_120hz,0.57,g,
2026-05-16T23:39:21.621Z,transformador/vibracao/fft_240hz,0.05,g,
2026-05-16T23:39:23.123Z,transformador/nucleo/temperatura,54.84,°C,
2026-05-16T23:39:23.123Z,transformador/nucleo/delta_t,4.93,°C,
2026-05-16T23:39:23.123Z,transformador/primario/corrente,2.56,A,
2026-05-16T23:39:23.123Z,transformador/secundario/corrente,24.86,A,
2026-05-16T23:39:23.123Z,transformador/vibracao/fft_120hz,0.11,g,
2026-05-16T23:39:23.123Z,transformador/vibracao/fft_240hz,0,g,
2026-05-16T23:39:24.624Z,transformador/nucleo/temperatura,60.92,°C,
2026-05-16T23:39:24.624Z,transformador/nucleo/delta_t,7.24,°C,
2026-05-16T23:39:24.624Z,transformador/primario/corrente,2.02,A,
2026-05-16T23:39:24.624Z,transformador/secundario/corrente,23.27,A,
2026-05-16T23:39:24.624Z,transformador/vibracao/fft_120hz,0.08,g,
2026-05-16T23:39:24.624Z,transformador/vibracao/fft_240hz,0.04,g,
2026-05-16T23:39:26.126Z,transformador/nucleo/temperatura,50.66,°C,
2026-05-16T23:39:26.126Z,transformador/nucleo/delta_t,6.93,°C,
2026-05-16T23:39:26.126Z,transformador/primario/corrente,2.09,A,
2026-05-16T23:39:26.126Z,transformador/secundario/corrente,24.62,A,
2026-05-16T23:39:26.126Z,transformador/vibracao/fft_120hz,0.09,g,
2026-05-16T23:39:26.126Z,transformador/vibracao/fft_240hz,0.02,g,
2026-05-16T23:39:27.628Z,transformador/nucleo/temperatura,58.12,°C,
2026-05-16T23:39:27.628Z,transformador/nucleo/delta_t,5.01,°C,
2026-05-16T23:39:27.628Z,transformador/primario/corrente,3.49,A,
2026-05-16T23:39:27.628Z,transformador/secundario/corrente,20.93,A,
2026-05-16T23:39:27.628Z,transformador/vibracao/fft_120hz,0.1,g,
2026-05-16T23:39:27.628Z,transformador/vibracao/fft_240hz,0.06,g,
2026-05-16T23:39:29.128Z,transformador/nucleo/temperatura,58.28,°C,
2026-05-16T23:39:29.128Z,transformador/nucleo/delta_t,6.44,°C,
2026-05-16T23:39:29.128Z,transformador/primario/corrente,2.7,A,
2026-05-16T23:39:29.128Z,transformador/secundario/corrente,27.37,A,
2026-05-16T23:39:29.128Z,transformador/vibracao/fft_120hz,0.09,g,
2026-05-16T23:39:29.128Z,transformador/vibracao/fft_240hz,0.06,g,
2026-05-16T23:39:30.628Z,transformador/nucleo/temperatura,47.86,°C,
2026-05-16T23:39:30.628Z,transformador/nucleo/delta_t,7.17,°C,
2026-05-16T23:39:30.628Z,transformador/primario/corrente,3.03,A,
2026-05-16T23:39:30.628Z,transformador/secundario/corrente,25.15,A,
2026-05-16T23:39:30.628Z,transformador/vibracao/fft_120hz,0.03,g,
2026-05-16T23:39:30.628Z,transformador/vibracao/fft_240hz,0.03,g,
2026-05-16T23:39:32.130Z,transformador/nucleo/temperatura,52.13,°C,
2026-05-16T23:39:32.130Z,transformador/nucleo/delta_t,4.64,°C,
2026-05-16T23:39:32.130Z,transformador/primario/corrente,2.26,A,
2026-05-16T23:39:32.130Z,transformador/secundario/corrente,17.99,A,
2026-05-16T23:39:32.130Z,transformador/vibracao/fft_120hz,0.12,g,
2026-05-16T23:39:32.130Z,transformador/vibracao/fft_240hz,0.06,g,
2026-05-16T23:39:33.631Z,transformador/nucleo/temperatura,47.15,°C,
2026-05-16T23:39:33.631Z,transformador/nucleo/delta_t,9.06,°C,
2026-05-16T23:39:33.631Z,transformador/primario/corrente,3.07,A,
2026-05-16T23:39:33.631Z,transformador/secundario/corrente,22.28,A,
2026-05-16T23:39:33.631Z,transformador/vibracao/fft_120hz,0.04,g,
2026-05-16T23:39:33.631Z,transformador/vibracao/fft_240hz,0.04,g,
2026-05-16T23:39:35.132Z,transformador/nucleo/temperatura,46.31,°C,
2026-05-16T23:39:35.132Z,transformador/nucleo/delta_t,9.66,°C,
2026-05-16T23:39:35.132Z,transformador/primario/corrente,2.55,A,
2026-05-16T23:39:35.132Z,transformador/secundario/corrente,24.42,A,
2026-05-16T23:39:35.132Z,transformador/vibracao/fft_120hz,0.1,g,
2026-05-16T23:39:35.132Z,transformador/vibracao/fft_240hz,0.05,g,
2026-05-16T23:39:36.632Z,transformador/nucleo/temperatura,51.92,°C,
2026-05-16T23:39:36.632Z,transformador/nucleo/delta_t,7.75,°C,
2026-05-16T23:39:36.632Z,transformador/primario/corrente,2.86,A,
2026-05-16T23:39:36.632Z,transformador/secundario/corrente,20.05,A,
2026-05-16T23:39:36.632Z,transformador/vibracao/fft_120hz,0.07,g,
2026-05-16T23:39:36.632Z,transformador/vibracao/fft_240hz,0.02,g,
2026-05-16T23:39:38.135Z,transformador/nucleo/temperatura,46.06,°C,
2026-05-16T23:39:38.135Z,transformador/nucleo/delta_t,8.19,°C,
2026-05-16T23:39:38.135Z,transformador/primario/corrente,3.13,A,
2026-05-16T23:39:38.135Z,transformador/secundario/corrente,21.46,A,
2026-05-16T23:39:38.135Z,transformador/vibracao/fft_120hz,0.07,g,
2026-05-16T23:39:38.135Z,transformador/vibracao/fft_240hz,0.07,g,
2026-05-16T23:39:39.636Z,transformador/nucleo/temperatura,64.73,°C,
2026-05-16T23:39:39.636Z,transformador/nucleo/delta_t,11.41,°C,
2026-05-16T23:39:39.636Z,transformador/primario/corrente,3.35,A,
2026-05-16T23:39:39.636Z,transformador/secundario/corrente,17.52,A,
2026-05-16T23:39:39.636Z,transformador/vibracao/fft_120hz,0.04,g,
2026-05-16T23:39:39.636Z,transformador/vibracao/fft_240hz,0.06,g,
2026-05-16T23:39:41.136Z,transformador/nucleo/temperatura,47.01,°C,
2026-05-16T23:39:41.136Z,transformador/nucleo/delta_t,8.28,°C,
2026-05-16T23:39:41.136Z,transformador/primario/corrente,2.75,A,
2026-05-16T23:39:41.136Z,transformador/secundario/corrente,33.6,A,
2026-05-16T23:39:41.136Z,transformador/vibracao/fft_120hz,0.14,g,
2026-05-16T23:39:41.136Z,transformador/vibracao/fft_240hz,0.01,g,
2026-05-16T23:39:42.638Z,transformador/nucleo/temperatura,52.43,°C,
2026-05-16T23:39:42.638Z,transformador/nucleo/delta_t,6.12,°C,
2026-05-16T23:39:42.638Z,transformador/primario/corrente,3.36,A,
2026-05-16T23:39:42.638Z,transformador/secundario/corrente,23.42,A,
2026-05-16T23:39:42.638Z,transformador/vibracao/fft_120hz,0.13,g,
2026-05-16T23:39:42.638Z,transformador/vibracao/fft_240hz,0.07,g,
2026-05-16T23:39:44.139Z,transformador/nucleo/temperatura,46.27,°C,
2026-05-16T23:39:44.139Z,transformador/nucleo/delta_t,10.83,°C,
2026-05-16T23:39:44.139Z,transformador/primario/corrente,2.22,A,
2026-05-16T23:39:44.139Z,transformador/secundario/corrente,22.1,A,
2026-05-16T23:39:44.139Z,transformador/vibracao/fft_120hz,0.03,g,
2026-05-16T23:39:44.139Z,transformador/vibracao/fft_240hz,0.03,g,
2026-05-16T23:39:45.640Z,transformador/nucleo/temperatura,47.06,°C,
2026-05-16T23:39:45.640Z,transformador/nucleo/delta_t,10.12,°C,
